occurrence_no,lng,lat,mid_ma
464142,-104.637001,43.116329,68.3
464368,-108.667801,41.568298,68.3
464369,-108.667801,41.568298,68.3
464371,-108.667801,41.568298,68.3
464420,-104.491669,40.386391,68.3
464631,-110.700768,49.07629,77.05
464673,-110.715843,49.074078,77.05
464703,-110.70282,49.075844,77.05
464704,-110.70282,49.075844,77.05
464751,-110.732346,49.187008,77.05
464752,-110.732346,49.187008,77.05
464786,-110.73439,49.193851,77.05
464787,-110.73439,49.193851,77.05
464822,-110.659027,49.072575,77.05
465637,-115.4627,54.903801,66.1
465659,-113.124603,52.3284,68.3
466169,111.449997,33.25,32.8
467138,-106.427223,47.675835,68.3
467323,-111.10611,35.79361,191
469058,-108.548576,44.646603,53.05
469072,-108.537277,44.645458,53.05
469087,-108.482819,44.621761,53.05
469105,-108.72113,44.651978,53.05
469121,-108.466568,44.618702,53.05
469140,-108.456497,44.618481,53.05
469155,-108.450333,44.615192,53.05
469166,-108.450394,44.613842,53.05
469192,-108.336555,44.67786,56.3
469197,-108.328339,44.609699,53.05
469207,-108.350235,44.682228,56.3
469217,-108.317398,44.600891,53.05
469227,-108.3554,44.693604,59.25
469229,-108.359322,44.69054,59.25
469263,-108.397057,44.62299,53.05
469286,-108.394035,44.634174,53.05
469303,-108.535042,44.653511,53.05
469355,-108.408585,44.590393,53.05
469403,-108.444168,44.669518,56.3
469409,-108.453033,44.668816,56.3
469413,-108.444466,44.677177,56.3
469418,-108.459961,44.668968,56.3
469438,-108.57476,44.517525,53.05
469458,-108.584908,44.515488,53.05
469478,-108.902779,44.650509,53.05
469498,-108.924316,44.630196,53.05
469511,-108.887848,44.627728,53.05
469521,-108.881416,44.631207,53.05
469536,-108.880783,44.631195,53.05
469543,-108.675964,44.661869,53.05
469601,-108.886642,44.643459,53.05
469614,-108.885284,44.646133,53.05
469643,-108.832024,44.654137,53.05
469654,-108.759605,44.635185,53.05
469671,-108.740273,44.418289,53.05
469703,-108.792244,44.405804,53.05
469712,-108.792244,44.405804,53.05
469750,-108.651161,44.448002,53.05
469772,-108.766396,44.326073,53.05
469797,-108.702187,44.524662,53.05
469811,-108.777161,44.33979,53.05
469825,-108.760201,44.389874,53.05
469898,-108.721672,44.573666,53.05
469906,-108.89978,44.632446,53.05
469943,-108.728584,44.683815,53.05
469957,-108.733376,44.677429,53.05
469970,-108.648636,44.523392,53.05
469995,-108.615303,44.584637,53.05
470007,-108.654488,44.55619,53.05
470028,-108.575821,44.567692,53.05
470041,-108.582947,44.584316,53.05
470059,-108.671021,44.504673,53.05
470078,-108.665733,44.545708,53.05
470089,-108.673553,44.532722,53.05
470115,-108.523094,44.56395,53.05
470125,-108.550049,44.56678,53.05
470146,-108.727921,44.516712,53.05
470171,-108.626984,44.600994,53.05
470224,-108.701675,44.55373,53.05
470238,-108.714836,44.584152,53.05
470268,-108.633095,44.59005,53.05
470284,-108.693619,44.509094,53.05
470320,-108.759514,44.611324,53.05
470330,-108.776054,44.597424,53.05
470339,-108.786278,44.596813,53.05
470361,-108.783707,44.588303,53.05
470386,-108.775475,44.586071,53.05
470407,-108.806023,44.577747,53.05
470419,-108.802055,44.579472,53.05
470440,-108.821655,44.61784,53.05
